행정구역,총계,총계 남,총계 여,중구 계,중구 남,중구 여,동구 계,동구 남,동구 여,서구 계,서구 남,서구 여,남구 계,남구 남,남구 여,북구 계,북구 남,북구 여,수성구 계,수성구 남,수성구 여,달서구 계,달서구 남,달서구 여,달성군 계,달성군 남,달성군 여
58세,"46,797","22,664","24,133","1,287",587,700,"6,778","3,225","3,553","4,324","2,085","2,239","2,983","1,365","1,618","8,212","4,036","4,176","7,426","3,605","3,821","11,360","5,555","5,805","4,427","2,206","2,221"
59세,"43,931","21,083","22,848","1,339",654,685,"6,443","2,975","3,468","4,171","2,010","2,161","2,990","1,398","1,592","7,375","3,598","3,777","6,939","3,360","3,579","10,566","5,077","5,489","4,108","2,011","2,097"
60세,"39,410","19,271","20,139","1,179",591,588,"5,971","2,850","3,121","3,719","1,801","1,918","2,741","1,227","1,514","6,657","3,350","3,307","6,320","3,089","3,231","9,200","4,512","4,688","3,623","1,851","1,772"
61세,"35,345","17,438","17,907","1,109",551,558,"5,483","2,597","2,886","3,250","1,601","1,649","2,588","1,261","1,327","5,908","3,052","2,856","5,812","2,745","3,067","7,927","3,978","3,949","3,268","1,653","1,615"
62세,"34,885","17,002","17,883","1,140",516,624,"5,429","2,537","2,892","3,315","1,600","1,715","2,508","1,153","1,355","5,659","2,837","2,822","5,725","2,766","2,959","7,935","3,958","3,977","3,174","1,635","1,539"
63세,"32,847","15,734","17,113","1,095",517,578,"5,314","2,468","2,846","3,238","1,490","1,748","2,468","1,121","1,347","5,231","2,549","2,682","5,275","2,511","2,764","7,375","3,663","3,712","2,851","1,415","1,436"
64세,"32,684","15,535","17,149","1,096",513,583,"5,328","2,465","2,863","3,166","1,454","1,712","2,591","1,204","1,387","5,198","2,479","2,719","5,240","2,494","2,746","7,278","3,511","3,767","2,787","1,415","1,372"
65세,"26,189","12,416","13,773",874,399,475,"4,347","1,986","2,361","2,634","1,241","1,393","2,042",939,"1,103","4,279","2,081","2,198","4,267","1,994","2,273","5,627","2,727","2,900","2,119",1049,"1,070"
66세,"27,945","12,934","15,011",951,414,537,"4,483","2,083","2,400","2,883","1,315","1,568","2,238",975,"1,263","4,334","2,028","2,306","4,552","2,105","2,447","6,106","2,847","3,259","2,398","1,167","1,231"
67세,"27,041","12,551","14,490",950,417,533,"4,546","2,078","2,468","2,872","1,325","1,547","2,150",958,"1,192","4,257","2,012","2,245","4,214","1,938","2,276","5,757","2,693","3,064","2,295","1,130","1,165"
68세,"20,698","9,587","11,111",758,331,427,"3,478","1,617","1,861","2,026",929,"1,097","1,708",748,960,"3,295","1,518","1,777","3,388","1,533","1,855","4,329","2,077","2,252","1,716",834,882
69세,"22,479","10,588","11,891",917,400,517,"3,893","1,807","2,086","2,275","1,100","1,175","1,852",871,981,"3,479","1,607","1,872","3,691","1,725","1,966","4,522","2,164","2,358","1,850",914,936
70세,"22,763","10,347","12,416",895,359,536,"3,921","1,794","2,127","2,329","1,083","1,246","1,910",835,"1,075","3,660","1,642","2,018","3,611","1,585","2,026","4,584","2,135","2,449","1,853",914,939
71세,"21,018","9,533","11,485",887,391,496,"3,585","1,628","1,957","2,109",948,"1,161","1,794",775,"1,019","3,357","1,484","1,873","3,434","1,552","1,882","4,189","1,948","2,241","1,663",807,856
72세,"19,430","8,632","10,798",864,368,496,"3,344","1,471","1,873","1,939",839,"1,100","1,764",759,1005,"3,019","1,347","1,672","3,237","1,402","1,835","3,821","1,769","2,052","1,442",677,765
73세,"11,818","5,392","6,426",543,221,322,"2,073",939,"1,134","1,126",506,620,"1,056",456,600,"1,862",825,"1,037","1,920",896,"1,024","2,281","1,075","1,206",957,474,483
74세,"15,082","6,500","8,582",661,275,386,"2,672","1,130","1,542","1,486",667,819,"1,292",531,761,"2,469",1006,"1,463","2,526","1,092","1,434","2,851","1,269","1,582","1,125",530,595
75세,"16,042","6,664","9,378",791,335,456,"2,796","1,181","1,615","1,647",677,970,"1,426",600,826,"2,553","1,019","1,534","2,735","1,177","1,558","2,932","1,197","1,735","1,162",478,684
76세,"17,920","7,638","10,282",803,349,454,"3,058","1,298","1,760","1,801",768,"1,033","1,617",667,950,"2,886","1,228","1,658","3,026","1,290","1,736","3,375","1,457","1,918","1,354",581,773
77세,"16,730","7,078","9,652",753,354,399,"2,886","1,199","1,687","1,699",713,986,"1,550",695,855,"2,731","1,161","1,570","2,726","1,163","1,563","3,158","1,311","1,847","1,227",482,745
78세,"13,966","5,569","8,397",600,241,359,"2,446",1025,"1,421","1,327",527,800,"1,303",500,803,"2,217",885,"1,332","2,339",957,"1,382","2,626",1040,"1,586","1,108",394,714
79세,"12,994","5,051","7,943",585,228,357,"2,272",912,"1,360","1,195",467,728,"1,193",467,726,"2,170",843,"1,327","2,209",905,"1,304","2,391",899,"1,492",979,330,649
80세,"12,017","4,702","7,315",545,210,335,"2,009",794,"1,215","1,169",455,714,"1,166",484,682,"1,907",780,"1,127","2,020",796,"1,224","2,268",847,"1,421",933,336,597
81세,"10,451","3,869","6,582",470,171,299,"1,763",644,"1,119",982,370,612,953,338,615,"1,564",577,987,"1,891",735,"1,156","1,987",718,"1,269",841,316,525
82세,"9,634","3,541","6,093",444,172,272,"1,626",610,"1,016",860,313,547,879,330,549,"1,492",538,954,"1,698",653,"1,045","1,845",652,"1,193",790,273,517
83세,"8,747","3,052","5,695",381,161,220,"1,466",532,934,788,284,504,843,298,545,"1,290",449,841,"1,612",568,"1,044","1,724",540,"1,184",643,220,423
84세,"7,651","2,663","4,988",333,127,206,"1,264",435,829,648,227,421,728,269,459,"1,198",398,800,"1,462",532,930,"1,399",494,905,619,181,438
85세,"6,287","2,021","4,266",272,92,180,"1,024",328,696,528,172,356,589,197,392,969,296,673,"1,180",408,772,"1,211",383,828,514,145,369
86세,"5,213","1,621","3,592",213,62,151,834,270,564,420,121,299,510,181,329,803,232,571,"1,029",327,702,955,276,679,449,152,297
87세,"4,388","1,295","3,093",204,59,145,705,230,475,353,95,258,443,141,302,657,174,483,824,255,569,845,234,611,357,107,250
88세,"3,309",840,"2,469",157,39,118,505,135,370,270,50,220,338,91,247,483,118,365,644,186,458,620,153,467,292,68,224
89세,"2,578",608,"1,970",118,27,91,418,110,308,209,39,170,227,55,172,391,84,307,506,136,370,499,121,378,210,36,174
90세,"2,218",545,"1,673",113,32,81,305,83,222,179,45,134,249,68,181,320,73,247,451,101,350,440,107,333,161,36,125
91세,"1,746",407,"1,339",102,30,72,293,66,227,158,31,127,167,55,112,232,48,184,333,72,261,310,68,242,151,37,114
92세,"1,325",284,"1,041",72,13,59,231,44,187,117,15,102,114,30,84,194,48,146,246,64,182,220,49,171,131,21,110
93세,874,174,700,48,14,34,135,23,112,74,17,57,93,16,77,124,24,100,170,37,133,155,28,127,75,15,60
94세,696,150,546,36,9,27,128,26,102,57,7,50,62,13,49,100,23,77,131,30,101,127,28,99,55,14,41
95세,428,86,342,31,9,22,89,11,78,40,6,34,40,8,32,46,10,36,76,17,59,79,20,59,27,5,22
96세,424,91,333,28,7,21,56,12,44,32,6,26,52,15,37,76,7,69,67,20,47,77,17,60,36,7,29
97세,292,62,230,19,2,17,64,11,53,22,7,15,26,5,21,41,9,32,54,12,42,46,9,37,20,7,13
98세,191,31,160,16,2,14,29,10,19,16,3,13,23,4,19,34,4,30,32,3,29,30,4,26,11,1,10
99세,152,26,126,16,7,9,27,6,21,12,0,12,21,3,18,26,3,23,25,3,22,17,4,13,8,0,8
100세 이상,650,153,497,87,16,71,115,29,86,93,23,70,77,18,59,76,17,59,95,27,68,79,15,64,28,8,20
